Tanggal,Jam,Pasut,WS2M,WD2M,datetime,Pasut_lag1,Pasut_lag2,Pasut_lag3,Pasut_lag6,WS2M_lag1,WS2M_lag2,WS2M_lag3,WD_rad,u,v,u_lag1,v_lag1,u_lag2,v_lag2,hour,hour_sin,hour_cos
9/26/2025,20:00,2.2,0.52,124.9,2025-09-26 20:00:00,2.1,1.8,1.6,1.1,0.53,0.52,0.55,2.179916235740918,-0.29751585419166854,0.4264789754543615,-0.3435035475634594,0.40361530299447046,-0.3676955262170047,0.36769552621700474,20,-0.8660254037844386,0.5000000000000001
9/26/2025,21:00,2.3,0.51,123.1,2025-09-26 21:00:00,2.2,2.1,1.8,1.2,0.52,0.53,0.52,2.1485003092050197,-0.27851200011735877,0.4272365454764238,-0.29751585419166854,0.4264789754543615,-0.3435035475634594,0.40361530299447046,21,-0.7071067811865477,0.7071067811865474
9/26/2025,22:00,2.3,0.47,122.0,2025-09-26 22:00:00,2.3,2.2,2.1,1.4,0.51,0.52,0.53,2.129301687433082,-0.24906205418960622,0.39858260519352023,-0.27851200011735877,0.4272365454764238,-0.29751585419166854,0.4264789754543615,22,-0.5000000000000004,0.8660254037844384
9/26/2025,23:00,2.2,0.43,118.9,2025-09-26 23:00:00,2.3,2.3,2.2,1.6,0.47,0.51,0.52,2.075196480621258,-0.20781142479965106,0.3764497466100077,-0.24906205418960622,0.39858260519352023,-0.27851200011735877,0.4272365454764238,23,-0.25881904510252157,0.9659258262890681
9/27/2025,0:00,2.1,0.42,114.1,2025-09-27 00:00:00,2.2,2.3,2.3,1.8,0.43,0.47,0.51,1.99142067652553,-0.17149879336018164,0.383390354437878,-0.20781142479965106,0.3764497466100077,-0.24906205418960622,0.39858260519352023,0,0.0,1.0
9/27/2025,1:00,1.9,0.44,108.4,2025-09-27 01:00:00,2.1,2.2,2.3,2.1,0.42,0.43,0.47,1.8919369091618534,-0.13888557625672515,0.41750544512357846,-0.17149879336018164,0.383390354437878,-0.20781142479965106,0.3764497466100077,1,0.25881904510252074,0.9659258262890683
9/27/2025,2:00,1.8,0.48,105.8,2025-09-27 02:00:00,1.9,2.1,2.2,2.2,0.44,0.42,0.43,1.8465583486100006,-0.13069451857947564,0.461864636894057,-0.13888557625672515,0.41750544512357846,-0.17149879336018164,0.383390354437878,2,0.49999999999999994,0.8660254037844387
9/27/2025,3:00,1.7,0.51,104.9,2025-09-27 03:00:00,1.8,1.9,2.1,2.3,0.48,0.44,0.42,1.8308503853420517,-0.13113772450889505,0.49285180045387794,-0.13069451857947564,0.461864636894057,-0.13888557625672515,0.41750544512357846,3,0.7071067811865475,0.7071067811865476
9/27/2025,4:00,1.6,0.52,103.2,2025-09-27 04:00:00,1.7,1.8,1.9,2.3,0.51,0.48,0.44,1.8011797880581482,-0.118742452457541,0.5062610294940434,-0.13113772450889505,0.49285180045387794,-0.13069451857947564,0.461864636894057,4,0.8660254037844386,0.5000000000000001
9/27/2025,5:00,1.6,0.52,103.2,2025-09-27 05:00:00,1.6,1.7,1.8,2.2,0.52,0.51,0.48,1.8011797880581482,-0.118742452457541,0.5062610294940434,-0.118742452457541,0.5062610294940434,-0.13113772450889505,0.49285180045387794,5,0.9659258262890683,0.25881904510252074
9/27/2025,6:00,1.7,0.51,102.4,2025-09-27 06:00:00,1.6,1.6,1.7,2.1,0.52,0.52,0.51,1.7872171540421935,-0.10951501685520224,0.49810286195042563,-0.118742452457541,0.5062610294940434,-0.118742452457541,0.5062610294940434,6,1.0,6.123233995736766e-17
9/27/2025,7:00,1.7,0.44,101.8,2025-09-27 07:00:00,1.7,1.6,1.6,1.9,0.51,0.52,0.52,1.7767451785302275,-0.08997826281038775,0.4307016510551414,-0.10951501685520224,0.49810286195042563,-0.118742452457541,0.5062610294940434,7,0.9659258262890683,-0.25881904510252063
9/27/2025,8:00,1.7,0.44,97.8,2025-09-27 08:00:00,1.7,1.7,1.6,1.8,0.44,0.51,0.52,1.7069320084504542,-0.05971485187109389,0.4359290498074352,-0.08997826281038775,0.4307016510551414,-0.10951501685520224,0.49810286195042563,8,0.8660254037844387,-0.4999999999999998
9/27/2025,9:00,1.6,0.41,97.0,2025-09-27 09:00:00,1.7,1.7,1.7,1.7,0.44,0.44,0.51,1.6929693744344996,-0.04996643079611042,0.406943922172942,-0.05971485187109389,0.4359290498074352,-0.08997826281038775,0.4307016510551414,9,0.7071067811865476,-0.7071067811865475
9/27/2025,10:00,1.5,0.37,97.7,2025-09-27 10:00:00,1.6,1.7,1.7,1.6,0.41,0.44,0.44,1.70518667919846,-0.049574888604768066,0.36666378389448945,-0.04996643079611042,0.406943922172942,-0.05971485187109389,0.4359290498074352,10,0.49999999999999994,-0.8660254037844387
9/27/2025,11:00,1.4,0.37,108.9,2025-09-27 11:00:00,1.5,1.6,1.7,1.6,0.37,0.41,0.44,1.900663555421825,-0.1198494447333153,0.35005158276619175,-0.049574888604768066,0.36666378389448945,-0.04996643079611042,0.406943922172942,11,0.258819045102521,-0.9659258262890682
9/27/2025,12:00,1.2,0.38,118.6,2025-09-27 12:00:00,1.4,1.5,1.6,1.7,0.37,0.37,0.41,2.069960492865275,-0.18190290601743056,0.3336335306626326,-0.1198494447333153,0.35005158276619175,-0.049574888604768066,0.36666378389448945,12,1.2246467991473532e-16,-1.0
9/27/2025,13:00,1.1,0.36,123.7,2025-09-27 13:00:00,1.2,1.4,1.5,1.7,0.38,0.37,0.37,2.158972284716986,-0.19974399388127978,0.2995034839669737,-0.18190290601743056,0.3336335306626326,-0.1198494447333153,0.35005158276619175,13,-0.2588190451025208,-0.9659258262890683
9/27/2025,14:00,1.0,0.41,126.0,2025-09-27 14:00:00,1.1,1.2,1.4,1.7,0.36,0.38,0.37,2.199114857512855,-0.24099195343991392,0.3316969676937284,-0.19974399388127978,0.2995034839669737,-0.18190290601743056,0.3336335306626326,14,-0.4999999999999997,-0.8660254037844388
9/27/2025,15:00,1.1,0.48,129.0,2025-09-27 15:00:00,1.0,1.1,1.2,1.6,0.41,0.36,0.38,2.251474735072685,-0.3020737877039219,0.3730300614993461,-0.24099195343991392,0.3316969676937284,-0.19974399388127978,0.2995034839669737,15,-0.7071067811865471,-0.7071067811865479
9/27/2025,16:00,1.2,0.51,133.4,2025-09-27 16:00:00,1.1,1.0,1.1,1.5,0.48,0.41,0.36,2.3282692221604355,-0.3504146305102557,0.3705530821951977,-0.3020737877039219,0.3730300614993461,-0.24099195343991392,0.3316969676937284,16,-0.8660254037844384,-0.5000000000000004
9/27/2025,17:00,1.4,0.48,136.7,2025-09-27 17:00:00,1.2,1.1,1.0,1.4,0.51,0.48,0.41,2.3858650874762484,-0.349330923675461,0.3291928094051406,-0.3504146305102557,0.3705530821951977,-0.3020737877039219,0.3730300614993461,17,-0.9659258262890683,-0.25881904510252063
9/27/2025,18:00,1.7,0.51,136.6,2025-09-27 18:00:00,1.4,1.2,1.1,1.2,0.48,0.51,0.48,2.384119758224254,-0.37055308219519767,0.3504146305102558,-0.349330923675461,0.3291928094051406,-0.3504146305102557,0.3705530821951977,18,-1.0,-1.8369701987210297e-16
9/27/2025,19:00,2.0,0.55,133.5,2025-09-27 19:00:00,1.7,1.4,1.2,1.1,0.51,0.48,0.51,2.3300145514124297,-0.37859501663156464,0.39895590405675835,-0.37055308219519767,0.3504146305102558,-0.349330923675461,0.3291928094051406,19,-0.9659258262890684,0.2588190451025203
9/27/2025,20:00,2.2,0.57,130.7,2025-09-27 20:00:00,2.0,1.7,1.4,1.0,0.55,0.51,0.48,2.2811453323565885,-0.3716960901833234,0.4321365716326619,-0.37859501663156464,0.39895590405675835,-0.37055308219519767,0.3504146305102558,20,-0.8660254037844386,0.5000000000000001
9/27/2025,21:00,2.4,0.56,127.1,2025-09-27 21:00:00,2.2,2.0,1.7,1.1,0.57,0.55,0.51,2.218313479284793,-0.3377964731373582,0.446647000142128,-0.3716960901833234,0.4321365716326619,-0.37859501663156464,0.39895590405675835,21,-0.7071067811865477,0.7071067811865474
9/27/2025,22:00,2.5,0.55,121.7,2025-09-27 22:00:00,2.4,2.2,2.0,1.2,0.56,0.57,0.55,2.1240656996770992,-0.28900940808974734,0.4679461101832282,-0.3377964731373582,0.446647000142128,-0.3716960901833234,0.4321365716326619,22,-0.5000000000000004,0.8660254037844384
9/27/2025,23:00,2.5,0.52,115.1,2025-09-27 23:00:00,2.5,2.4,2.2,1.4,0.55,0.56,0.57,2.008873969045473,-0.22058369982760279,0.4708957754857927,-0.28900940808974734,0.4679461101832282,-0.3377964731373582,0.446647000142128,23,-0.25881904510252157,0.9659258262890681
9/28/2025,0:00,2.4,0.49,110.3,2025-09-28 00:00:00,2.5,2.5,2.4,1.7,0.52,0.55,0.56,1.9250981649497454,-0.16999846927089532,0.4595655779598299,-0.22058369982760279,0.4708957754857927,-0.28900940808974734,0.4679461101832282,0,0.0,1.0
9/28/2025,1:00,2.2,0.47,104.9,2025-09-28 01:00:00,2.4,2.5,2.5,2.0,0.49,0.52,0.55,1.8308503853420517,-0.1208524127827072,0.45419675728102477,-0.16999846927089532,0.4595655779598299,-0.22058369982760279,0.4708957754857927,1,0.25881904510252074,0.9659258262890683
9/28/2025,2:00,2.0,0.46,101.3,2025-09-28 02:00:00,2.2,2.4,2.5,2.2,0.47,0.49,0.52,1.7680185322702557,-0.09013522635155809,0.451082742931442,-0.1208524127827072,0.45419675728102477,-0.16999846927089532,0.4595655779598299,2,0.49999999999999994,0.8660254037844387
9/28/2025,3:00,1.8,0.47,99.9,2025-09-28 03:00:00,2.0,2.2,2.4,2.4,0.46,0.47,0.49,1.7435839227423353,-0.08080667713132252,0.4630013832927437,-0.09013522635155809,0.451082742931442,-0.1208524127827072,0.45419675728102477,3,0.7071067811865475,0.7071067811865476
9/28/2025,4:00,1.7,0.49,97.0,2025-09-28 04:00:00,1.8,2.0,2.2,2.5,0.47,0.46,0.47,1.6929693744344996,-0.05971597826852221,0.48634761430424783,-0.08080667713132252,0.4630013832927437,-0.09013522635155809,0.451082742931442,4,0.8660254037844386,0.5000000000000001
9/28/2025,5:00,1.6,0.5,95.7,2025-09-28 05:00:00,1.7,1.8,2.0,2.5,0.49,0.47,0.46,1.6702800941585734,-0.04965987487181949,0.4975277849806132,-0.05971597826852221,0.48634761430424783,-0.08080667713132252,0.4630013832927437,5,0.9659258262890683,0.25881904510252074
9/28/2025,6:00,1.6,0.52,95.5,2025-09-28 06:00:00,1.6,1.7,1.8,2.4,0.5,0.49,0.47,1.6667894356545847,-0.049839791310516454,0.5176060231509331,-0.04965987487181949,0.4975277849806132,-0.05971597826852221,0.48634761430424783,6,1.0,6.123233995736766e-17
9/28/2025,7:00,1.6,0.5,93.4,2025-09-28 07:00:00,1.6,1.6,1.7,2.2,0.52,0.5,0.49,1.6301375213627038,-0.029653186787980824,0.49911991396188266,-0.049839791310516454,0.5176060231509331,-0.04965987487181949,0.4975277849806132,7,0.9659258262890683,-0.25881904510252063
9/28/2025,8:00,1.6,0.48,88.8,2025-09-28 08:00:00,1.6,1.6,1.6,2.0,0.5,0.52,0.5,1.5498523757709646,0.010052361544011384,0.4798947280679258,-0.029653186787980824,0.49911991396188266,-0.049839791310516454,0.5176060231509331,8,0.8660254037844387,-0.4999999999999998
9/28/2025,9:00,1.6,0.43,90.0,2025-09-28 09:00:00,1.6,1.6,1.6,1.8,0.48,0.5,0.52,1.5707963267948966,2.6329906181668094e-17,0.43,0.010052361544011384,0.4798947280679258,-0.029653186787980824,0.49911991396188266,9,0.7071067811865476,-0.7071067811865475
9/28/2025,10:00,1.5,0.45,95.1,2025-09-28 10:00:00,1.6,1.6,1.6,1.7,0.43,0.48,0.5,1.6598081186466074,-0.04000243358989866,0.4482184794348463,2.6329906181668094e-17,0.43,0.010052361544011384,0.4798947280679258,10,0.49999999999999994,-0.8660254037844387
9/28/2025,11:00,1.3,0.44,104.3,2025-09-28 11:00:00,1.5,1.6,1.6,1.6,0.45,0.43,0.48,1.8203784098300857,-0.10867956559800686,0.4263669218190226,-0.04000243358989866,0.4482184794348463,2.6329906181668094e-17,0.43,11,0.258819045102521,-0.9659258262890682
